"","id","name","lat","long","date","areaSqKm","boundary","initGovt","initRebel","initCiv","initOther","targetGovt","targetRebel","targetCiv","targetOther","direct","hometownRel","governanceApproval","difficultFindJob","stdLiving","orgs","year","yearsSince1969"
"1",874,"Armagh",54.1887207,-6.362110138,19720822,1368.053543,0,0,1,0,0,0,1,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"2",3882,"Armagh",54.43241003,-6.462140391,19961010,1368.053543,0,0,0,1,0,0,0,1,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1996,27
"3",8010,"Armagh",54.34640121,-6.656970024,19740628,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"4",8027,"Armagh",54.29753876,-6.521490097,19740702,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"5",6370,"Armagh",54.34640121,-6.656970024,19730120,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1973,4
"6",7390,"Armagh",54.34640121,-6.656970024,19731002,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1973,4
"7",372,"Armagh",54.346924,-6.637372,19790602,1368.053543,0,0,1,0,0,0,0,1,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1979,10
"8",7713,"Armagh",54.18859863,-6.361060143,19740515,1368.053543,0,1,0,0,0,0,1,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"9",8213,"Armagh",54.18859863,-6.361060143,19740823,1368.053543,0,0,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"10",2573,"Armagh",54.422084,-6.45254,19730118,1368.053543,0,1,0,0,0,0,0,1,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1973,4
"11",1535,"Armagh",54.34640121,-6.656970024,19810519,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1981,12
"12",927,"Armagh",54.34640121,-6.656970024,19721218,1368.053543,0,0,1,0,0,1,0,0,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"13",2528,"Armagh",54.418036,-6.455144,19721004,1368.053543,0,1,0,0,0,0,0,1,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"14",8513,"Armagh",54.19549179,-6.395780087,19741118,1368.053543,0,0,0,0,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"15",4899,"Armagh",54.42554855,-6.438469887,19720311,1368.053543,0,1,0,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"16",8015,"Armagh",54.44459,-6.364421,19740629,1368.053543,1,0,0,0,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"17",9126,"Armagh",54.40813828,-6.6072402,19870508,1368.053543,0,1,0,0,0,0,1,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1987,18
"18",1151,"Armagh",54.18859863,-6.361060143,19740813,1368.053543,0,0,1,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1974,5
"19",869,"Armagh",54.14208984,-6.358660221,19720822,1368.053543,0,0,1,0,0,0,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"20",5953,"Armagh",54.18859863,-6.361060143,19721010,1368.053543,0,0,0,0,0,1,0,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1972,3
"21",277,"Armagh",54.22180176,-6.486440182,19760105,1368.053543,0,0,1,0,0,0,0,1,0,1,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1976,7
"22",9125,"Armagh",54.40813828,-6.6072402,19870508,1368.053543,0,1,0,0,0,0,1,0,0,0,1.671875,2.78688524590164,2.015625,2.91935483870968,35,1987,18
