id,date,lat,long,initGovt,initRebel,initCiv,initOther,targetGovt,targetRebel,targetCiv,targetOther,direct,name,areaSqKm,boundary
1,19690814,54.59928,-5.947665,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
2,19690815,54.610444,-5.960847,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
3,19690908,54.61282092,-5.94527779,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,0
4,19690925,54.99810028,-7.30934,0,1,0,0,0,0,1,0,1,Londonderry,1526.103519,0
5,19700507,54.6559906,-5.933694839,0,1,0,0,0,0,1,0,0,South Antrim,938.1374447,1
6,19700627,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,0,Belfast West,10.69025471,1
7,19700627,54.599557,-5.907509,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
8,19700627,54.599557,-5.907509,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
9,19700627,54.614714,-5.96595,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
10,19710110,54.585424,-5.974594,0,1,0,0,0,0,1,0,0,Belfast West,10.69025471,1
11,19710127,54.59523505,-5.94856212,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
12,19710209,54.6559906,-5.933694839,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,1
13,19710209,54.6559906,-5.933694839,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,1
14,19710209,54.6559906,-5.933694839,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,1
15,19710209,54.6559906,-5.933694839,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,1
16,19710209,54.6559906,-5.933694839,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,1
17,19710309,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,0,Belfast West,10.69025471,1
18,19710531,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,0,Belfast West,10.69025471,1
19,19710809,54.601781,-5.963462,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
20,19710810,54.61472381,-5.949702116,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,0
21,19710825,54.562644,-5.952288,0,1,0,0,0,0,1,0,0,Belfast South,24.27765275,0
22,19710903,54.590907,-5.961503,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
23,19710929,54.603536,-5.938987,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
24,19710929,54.603536,-5.938987,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
25,19711023,54.59928,-5.947665,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
26,19711025,54.596685,-5.907779,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,0
27,19711031,54.61383057,-6.118909836,0,1,0,0,0,0,1,0,0,South Antrim,938.1374447,0
28,19711102,54.588008,-5.924105,0,1,0,0,0,0,1,0,1,Belfast East,49.63733114,1
29,19711102,54.589927,-5.925005,0,1,0,0,0,0,1,0,1,Belfast East,49.63733114,1
30,19711102,54.589927,-5.925005,0,1,0,0,0,0,1,0,1,Belfast East,49.63733114,1
31,19711111,54.595664,-5.953938,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
32,19711119,54.6559906,-5.933694839,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,1
33,19711127,54.1887207,-6.362110138,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,0
34,19711127,54.1887207,-6.362110138,0,1,0,0,0,0,1,0,1,Armagh,1368.053543,0
35,19711128,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
36,19711211,54.603536,-5.938987,0,1,0,0,0,0,1,0,0,Belfast North,23.29125962,1
37,19711211,54.603536,-5.938987,0,1,0,0,0,0,1,0,0,Belfast North,23.29125962,1
38,19711211,54.604241,-5.951927,0,1,0,0,0,0,1,0,0,Belfast North,23.29125962,1
39,19711211,54.604241,-5.951927,0,1,0,0,0,0,1,0,0,Belfast North,23.29125962,1
40,19711212,54.6559906,-5.933694839,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,1
41,19711220,54.630425,-5.973151,0,1,0,0,0,0,1,0,0,South Antrim,938.1374447,1
42,19711221,54.569096,-5.967005,0,1,0,0,0,0,1,0,0,Belfast South,24.27765275,1
43,19720118,54.59385,-5.906452,0,1,0,0,0,0,1,0,1,Belfast East,49.63733114,0
44,19720131,54.5956192,-5.917319775,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
50,19720217,54.59967178,-5.937979228,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
51,19720304,54.599091,-5.928167,0,1,0,0,0,0,1,0,0,Belfast North,23.29125962,1
52,19720304,54.599091,-5.928167,0,1,0,0,0,0,1,0,0,Belfast North,23.29125962,1
53,19720312,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
54,19720320,54.5956192,-5.917319775,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
55,19720320,54.5956192,-5.917319775,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
56,19720320,54.5956192,-5.917319775,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
57,19720320,54.5956192,-5.917319775,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
58,19720328,55.04550171,-6.935560226,0,1,0,0,0,0,1,0,1,Londonderry,1526.103519,0
59,19720328,55.04550171,-6.935560226,0,1,0,0,0,0,1,0,1,Londonderry,1526.103519,0
60,19720329,54.574873,-6.000934,0,1,0,0,0,0,1,0,0,South Antrim,938.1374447,1
61,19720413,55.069191,-6.516304,0,1,0,0,0,0,1,0,0,North Antrim,2099.995932,0
62,19720419,54.576639,-6.00229,0,1,0,0,0,0,1,0,0,South Antrim,938.1374447,1
63,19720429,54.623284,-5.960432,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
64,19720501,54.70709991,-6.196080208,0,1,0,0,0,0,1,0,0,South Antrim,938.1374447,0
65,19720518,54.603582,-5.94157,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,1
66,19720522,54.6559906,-5.933694839,0,1,0,0,0,0,1,0,1,South Antrim,938.1374447,1
67,19720526,54.595833,-5.92133,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
68,19720528,54.598811,-5.912114,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
69,19720528,54.598811,-5.912114,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
70,19720528,54.598811,-5.912114,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
71,19720528,54.599931,-5.91204,0,1,0,0,0,0,1,0,0,Belfast East,49.63733114,1
72,19720530,54.623284,-5.960432,0,1,0,0,0,0,1,0,0,Belfast North,23.29125962,1
73,19720619,54.585424,-5.974594,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
74,19720625,54.6133411,-5.932398518,0,1,0,0,0,0,1,0,0,Belfast North,23.29125962,0
75,19720627,54.5965004,-5.955880165,0,1,0,0,0,0,1,0,0,Belfast West,10.69025471,1
76,19720702,54.616386,-5.944063,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,0
77,19720702,54.617397,-5.946356,0,1,0,0,0,0,1,0,1,Belfast North,23.29125962,0
78,19720706,54.59502696,-5.95591272,0,1,0,0,0,0,1,0,0,Belfast West,10.69025471,1
79,19720709,54.59552,-5.941791,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
80,19720709,54.601255,-5.985801,0,1,0,0,0,0,1,0,1,Belfast West,10.69025471,1
